case_id,round,company,is_clean,current9_observed_n,current9_below_n,current9_below_share,current9_flag,directional8_no13_observed_n,directional8_no13_below_n,directional8_no13_below_share,directional8_no13_flag,without_no8_observed_n,without_no8_below_n,without_no8_below_share,without_no8_flag,without_no14_observed_n,without_no14_below_n,without_no14_below_share,without_no14_flag,old7_no8_no14_observed_n,old7_no8_no14_below_n,old7_no8_no14_below_share,old7_no8_no14_flag,no8_no13_no14_observed_n,no8_no13_no14_below_n,no8_no13_no14_below_share,no8_no13_no14_flag,direct_or_near_direct5_observed_n,direct_or_near_direct5_below_n,direct_or_near_direct5_below_share,direct_or_near_direct5_flag,direct_comparable3_observed_n,direct_comparable3_below_n,direct_comparable3_below_share,direct_comparable3_flag
s2_outline_103,3次,ベストアメニティ株式会社,False,7,2.0,0.2857142857142857,False,7,2.0,0.2857142857142857,False,6,2.0,0.3333333333333333,False,6,2.0,0.3333333333333333,False,5,2.0,0.4,False,5,2.0,0.4,False,4,1.0,0.25,False,3,1.0,0.3333333333333333,False
s2_outline_158,4次,株式会社セントラルフード,True,7,3.0,0.42857142857142855,False,7,3.0,0.42857142857142855,False,6,2.0,0.3333333333333333,False,6,2.0,0.3333333333333333,False,5,1.0,0.2,False,5,1.0,0.2,False,4,0.0,0.0,False,3,0.0,0.0,False
s2_outline_178,4次,株式会社メタルテック,False,7,4.0,0.5714285714285714,False,7,4.0,0.5714285714285714,False,6,4.0,0.6666666666666666,True,6,4.0,0.6666666666666666,True,5,4.0,0.8,True,5,4.0,0.8,True,4,4.0,1.0,True,3,3.0,1.0,True
s2_outline_179,4次,株式会社クラスコ,True,7,2.0,0.2857142857142857,False,7,2.0,0.2857142857142857,False,6,2.0,0.3333333333333333,False,6,2.0,0.3333333333333333,False,5,2.0,0.4,False,5,2.0,0.4,False,4,1.0,0.25,False,3,0.0,0.0,False
s2_outline_182,4次,株式会社北十,False,7,4.0,0.5714285714285714,False,7,4.0,0.5714285714285714,False,6,3.0,0.5,False,6,3.0,0.5,False,5,2.0,0.4,False,5,2.0,0.4,False,4,1.0,0.25,False,3,0.0,0.0,False
s2_outline_190,3次,伊藤光学工業株式会社,False,7,1.0,0.14285714285714285,False,7,1.0,0.14285714285714285,False,6,1.0,0.16666666666666666,False,6,1.0,0.16666666666666666,False,5,1.0,0.2,False,5,1.0,0.2,False,4,1.0,0.25,False,3,1.0,0.3333333333333333,False
s2_outline_196,4次,岩手雪運株式会社,False,7,3.0,0.42857142857142855,False,7,3.0,0.42857142857142855,False,6,3.0,0.5,False,6,2.0,0.3333333333333333,False,5,2.0,0.4,False,5,2.0,0.4,False,4,2.0,0.5,False,3,2.0,0.6666666666666666,True
s2_outline_219,4次,株式会社ナリコマフード,False,7,3.0,0.42857142857142855,False,7,3.0,0.42857142857142855,False,6,3.0,0.5,False,6,2.0,0.3333333333333333,False,5,2.0,0.4,False,5,2.0,0.4,False,4,2.0,0.5,False,3,2.0,0.6666666666666666,True
s1_outline__207,1次,株式会社ジェイ・イー・ティ,True,9,3.0,0.3333333333333333,False,8,2.0,0.25,False,8,3.0,0.375,False,8,3.0,0.375,False,7,3.0,0.42857142857142855,False,6,2.0,0.3333333333333333,False,5,2.0,0.4,False,3,2.0,0.6666666666666666,True
s1_outline_173,2次,中央紙通商株式会社,True,9,4.0,0.4444444444444444,False,8,3.0,0.375,False,8,3.0,0.375,False,8,4.0,0.5,False,7,3.0,0.42857142857142855,False,6,2.0,0.3333333333333333,False,5,1.0,0.2,False,3,0.0,0.0,False
