case_id,round,company,industry,pdf_url,is_clean,analysis_exclusion_recommended,analysis_exclusion_reasons,project_cost_oku,subsidy_oku,dashboard9_observed_n,dashboard9_below_accepted_n,dashboard9_below_accepted_share,dashboard9_at_or_above_accepted_n,dashboard9_at_or_above_applicant_n,dashboard9_at_or_above_applicant_share,dashboard9_lagging,directional8_observed_n,directional8_below_accepted_n,directional8_below_accepted_share,directional8_at_or_above_accepted_n,directional8_lagging,directional_component_win_n,directional_explanation_level,directional_all_observed_below_accepted,component_growth_win,component_productivity_value_win,component_wage_win,secondary_effect_top_quartile,sales_increase_per_subsidy,payroll_increase_per_subsidy,jobs_increase_per_subsidy_oku,sales_cagr_pct,benchmark_applicant_company_sales_cagr,benchmark_accepted_company_sales_cagr,below_accepted_company_sales_cagr,sales_increase_oku_yen_normalized,benchmark_applicant_company_sales_increase,benchmark_accepted_company_sales_increase,below_accepted_company_sales_increase,labor_annual_rate_pct,benchmark_applicant_labor_cagr,benchmark_accepted_labor_cagr,below_accepted_labor_cagr,value_added_increase_estimated_oku,benchmark_applicant_value_added_increase,benchmark_accepted_value_added_increase,below_accepted_value_added_increase,employee_pay_annual_rate_pct,benchmark_applicant_employee_pay_rate,benchmark_accepted_employee_pay_rate,below_accepted_employee_pay_rate,employee_pay_total_increase_estimated_oku,benchmark_applicant_employee_pay_total_increase,benchmark_accepted_employee_pay_total_increase,below_accepted_employee_pay_total_increase,officer_pay_annual_rate_pct,benchmark_applicant_officer_pay_rate,benchmark_accepted_officer_pay_rate,below_accepted_officer_pay_rate,investment_sales_ratio_pct,benchmark_applicant_investment_sales_ratio,benchmark_accepted_investment_sales_ratio,below_accepted_investment_sales_ratio,value_added_subsidy_ratio_proxy_pct,benchmark_applicant_value_added_subsidy_ratio,benchmark_accepted_value_added_subsidy_ratio,below_accepted_value_added_subsidy_ratio
s1_outline__181,2次,株式会社ホテルニューアワジ,宿泊業・飲食サービス業,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline__181.pdf,True,False,,82.0,26.0,8,7.0,0.875,1.0,3.0,0.375,True,7,7.0,1.0,0.0,True,0,公開方向性定量では未説明,True,False,False,False,False,1.2653846153846153,0.05225769230769231,0.8076923076923077,,9.0,12.0,,32.9,23.1,46.7,1.0,15.3,17.0,22.0,1.0,11.35134,9.1,17.6,1.0,4.5,5.0,5.4,1.0,1.3587,1.5,2.9,1.0,4.0,4.4,5.0,1.0,120.94395280235989,48.0,46.0,0.0,39.690000000000005,107.0,149.0,1.0
s1_outline__195,2次,アシザワ・ファインテック株式会社,製造業,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline__195.pdf,True,False,,25.0,8.1,8,7.0,0.875,1.0,4.0,0.5,True,7,7.0,1.0,0.0,True,0,公開方向性定量では未説明,True,False,False,False,False,3.901234567901235,0.2642962962962963,1.4814814814814816,,9.0,12.0,,31.6,23.1,46.7,1.0,13.3,17.0,22.0,1.0,8.2698,9.1,17.6,1.0,4.5,5.0,5.4,1.0,2.1408,1.5,2.9,1.0,4.5,4.4,5.0,1.0,88.02816901408451,48.0,46.0,0.0,92.81481481481481,107.0,149.0,1.0
s1_outline__196,2次,株式会社八立製作所,製造業,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline__196.pdf,True,False,,13.4,4.2,8,8.0,1.0,0.0,0.0,0.0,True,8,8.0,1.0,0.0,True,0,公開方向性定量では未説明,True,False,False,False,False,1.8333333333333333,0.28238095238095234,2.380952380952381,7.0,9.0,12.0,1.0,7.7,23.1,46.7,1.0,9.5,17.0,22.0,1.0,4.816680000000001,9.1,17.6,1.0,4.0,5.0,5.4,1.0,1.186,1.5,2.9,1.0,3.7,4.4,5.0,1.0,,48.0,46.0,,104.25714285714285,107.0,149.0,1.0
s2_outline_99,3次,株式会社シュゼット・ホールディングス,サービス業_他に分類されないもの,https://seichotoushi-hojo.jp/assets/pdf/koufu_3_4ji/outline_99.pdf,False,True,RATE_DEFINITION_AMBIGUOUS|REPRESENTATIVE_ENTITY_AMBIGUOUS,104.0,34.0,6,5.0,0.8333333333333334,1.0,1.0,0.16666666666666666,True,5,5.0,1.0,0.0,True,0,公開方向性定量では未説明,True,False,False,False,False,,0.07041176470588235,0.8235294117647058,,13.0,14.0,,,42.2,62.3,,3.1,22.0,26.0,1.0,5.38692,15.7,24.1,1.0,5.0,6.0,6.2,1.0,2.394,2.4,3.5,1.0,,5.0,5.3,,64.15792720542875,57.0,61.0,0.0,14.403529411764705,139.0,171.0,1.0
s2_outline_128,3次,株式会社タカラ倉庫運輸サービス,運輸業・郵便業,https://seichotoushi-hojo.jp/assets/pdf/koufu_3_4ji/outline_128.pdf,False,True,RATE_DEFINITION_AMBIGUOUS|REPRESENTATIVE_ENTITY_AMBIGUOUS,46.0,14.0,6,6.0,1.0,0.0,4.0,0.6666666666666666,True,6,6.0,1.0,0.0,True,0,公開方向性定量では未説明,True,False,False,False,False,,0.23845714285714287,0.21428571428571427,,13.0,14.0,,,42.2,62.3,,19.6,22.0,26.0,1.0,20.79946,15.7,24.1,1.0,6.0,6.0,6.2,1.0,3.3384,2.4,3.5,1.0,5.0,5.0,5.3,1.0,,57.0,61.0,,135.06142857142856,139.0,171.0,1.0
s2_outline_24,3次,高知食糧株式会社,卸売業・小売業,https://seichotoushi-hojo.jp/assets/pdf/koufu_3_4ji/outline_24.pdf,False,True,RATE_DEFINITION_AMBIGUOUS,17.0,5.4,8,7.0,0.875,1.0,2.0,0.25,True,8,7.0,0.875,1.0,True,1,部分的な定量補完（1構成）,False,True,False,False,True,23.333333333333332,0.3396666666666667,1.111111111111111,8.9,13.0,14.0,1.0,126.0,42.2,62.3,0.0,15.0,22.0,26.0,1.0,6.84288,15.7,24.1,1.0,6.1,6.0,6.2,1.0,1.8342,2.4,3.5,1.0,4.6,5.0,5.3,1.0,,57.0,61.0,,115.19999999999997,139.0,171.0,1.0
s2_outline_149,4次,株式会社サン海苔,製造業,https://seichotoushi-hojo.jp/assets/pdf/koufu_3_4ji/outline_149.pdf,True,False,,13.88,4.26,8,7.0,0.875,1.0,2.0,0.25,True,8,7.0,0.875,1.0,True,1,部分的な定量補完（1構成）,False,False,True,False,False,7.368544600938968,0.10411267605633803,0.0,14.0,14.0,17.0,1.0,31.39,38.5,61.3,1.0,39.8,25.0,30.0,0.0,5.768136000000001,12.9,21.1,1.0,6.0,6.5,6.5,1.0,0.44352,2.0,2.9,1.0,5.0,5.5,6.0,1.0,,48.0,47.0,,123.0929577464789,169.0,209.0,1.0
s2_outline_172,4次,株式会社環境整備産業,サービス業_他に分類されないもの,https://seichotoushi-hojo.jp/assets/pdf/koufu_3_4ji/outline_172.pdf,True,False,,17.77,5.57,8,7.0,0.875,1.0,2.0,0.25,True,8,7.0,0.875,1.0,True,1,部分的な定量補完（1構成）,False,False,False,True,False,4.093357271095153,0.16340215439856373,1.7953321364452424,12.0,14.0,17.0,1.0,22.8,38.5,61.3,1.0,24.7,25.0,30.0,1.0,8.087750000000002,12.9,21.1,1.0,6.5,6.5,6.5,0.0,0.91015,2.0,2.9,1.0,5.8,5.5,6.0,1.0,,48.0,47.0,,132.00179533213642,169.0,209.0,1.0
s1_outline_27,1次,株式会社クラタ,製造業,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_27.pdf,True,False,,19.0,6.4,8,6.0,0.75,2.0,7.0,0.875,True,7,6.0,0.8571428571428571,1.0,True,1,部分的な定量補完（1構成）,False,False,True,False,False,5.15625,0.16520312499999998,3.125,,7.0,10.0,,33.0,19.5,55.0,1.0,138.4,12.0,15.0,0.0,7.853582,5.1,14.2,1.0,4.04,3.5,4.3,1.0,1.0573,0.9,2.3,1.0,3.5,3.4,4.0,1.0,40.42553191489362,50.0,36.0,0.0,111.5565625,61.0,126.0,1.0
s1_outline_39,1次,株式会社ハウゼコ,製造業,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_39.pdf,True,False,,19.0,6.1,8,6.0,0.75,2.0,5.0,0.625,True,7,6.0,0.8571428571428571,1.0,True,1,部分的な定量補完（1構成）,False,False,True,False,False,3.278688524590164,0.26098360655737707,3.278688524590164,,7.0,10.0,,20.0,19.5,55.0,1.0,17.0,12.0,15.0,0.0,8.261000000000001,5.1,14.2,1.0,3.2,3.5,4.3,1.0,1.592,0.9,2.3,1.0,3.2,3.4,4.0,1.0,41.30434782608695,50.0,36.0,0.0,123.11475409836066,61.0,126.0,1.0
s1_outline_49,1次,株式会社ＡＫシステム,製造業,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_49.pdf,True,False,,11.0,3.5,8,6.0,0.75,2.0,5.0,0.625,True,7,6.0,0.8571428571428571,1.0,True,1,部分的な定量補完（1構成）,False,False,False,True,False,5.171428571428572,0.3648571428571428,4.285714285714286,,7.0,10.0,,18.1,19.5,55.0,1.0,8.9,12.0,15.0,1.0,3.5865500000000003,5.1,14.2,1.0,4.0,3.5,4.3,1.0,1.277,0.9,2.3,1.0,4.0,3.4,4.0,0.0,50.22831050228311,50.0,36.0,0.0,93.15714285714286,61.0,126.0,1.0
s1_outline_63,1次,株式会社オティックスホールディングス,製造業,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_63.pdf,True,False,,166.0,50.0,8,6.0,0.75,2.0,3.0,0.375,True,7,6.0,0.8571428571428571,1.0,True,1,部分的な定量補完（1構成）,False,True,False,False,False,1.98,0.0030259999999999996,0.0,,7.0,10.0,,99.0,19.5,55.0,0.0,9.2,12.0,15.0,1.0,2.6049100000000003,5.1,14.2,1.0,3.85,3.5,4.3,1.0,0.1513,0.9,2.3,1.0,3.0,3.4,4.0,1.0,202.4390243902439,50.0,36.0,0.0,4.7362,61.0,126.0,1.0
